16,12,19,17
16,12,19,17
17,11,16,20
21,11,12,20
19,10,15,20
23,8,15,18
24,9,16,15
22,9,18,15
19,10,21,14
19,13,18,14
18,15,17,14
17,15,18,14
17,14,19,14
18,15,17,14
20,17,15,12
19,21,15,9
18,21,16,9
15,21,18,10
15,21,18,10
15,19,18,12
15,18,20,11
15,16,20,13
15,17,20,12
15,18,21,10
14,20,20,10
16,16,20,12
16,17,21,10
19,13,21,11
16,14,22,12
15,13,22,14
13,18,21,12
13,19,20,12
13,17,23,11
15,14,23,12
17,14,18,15
16,13,18,17
20,10,17,17
21,10,16,17
20,10,17,17
20,12,16,16
18,14,16,16
19,12,14,19
20,13,12,19
20,16,13,15
19,17,13,15
17,15,15,17
17,14,14,19
18,17,14,15
21,19,12,12
21,20,11,12
20,23,10,11
21,22,9,12
21,22,9,12
20,21,11,12
20,19,10,15
18,17,12,17
18,17,11,18
18,16,12,18
19,13,12,20
19,11,14,20
19,12,13,20
19,11,12,22
17,11,12,24
16,13,11,24
17,12,11,24
13,15,13,23
17,14,13,20
19,13,12,20
15,16,12,21
16,16,12,20
17,14,11,22
19,15,11,19
20,18,9,17
19,18,10,17
19,15,10,20
17,15,14,18
16,15,15,18
18,14,17,15
19,12,15,18
15,15,16,18
16,14,17,17
16,17,17,14
16,18,15,15
15,19,15,15
15,18,16,15
17,17,16,14
17,17,15,15
18,16,13,17
16,16,14,18
17,15,14,18
21,13,14,16
22,11,12,19
19,12,13,20
18,11,12,23
15,11,15,23
15,11,16,22
15,10,20,19
16,9,22,17
15,10,24,15
15,12,20,17
