0.0503,0.0503,0.0504,0.0505,0.0504,0.0505,0.0508,0.3667,0.9607,0.9771,0.9856,0.9906,0.9937,0.9954,0.9968
0.0503,0.0501,0.0503,0.0503,0.0503,0.0504,0.0507,0.0350,0.0021,0.0013,0.0008,0.0005,0.0004,0.0003,0.0002
0.0501,0.0501,0.0503,0.0503,0.0503,0.0504,0.0506,0.0346,0.0021,0.0012,0.0008,0.0005,0.0003,0.0003,0.0002
0.0501,0.0501,0.0502,0.0503,0.0503,0.0504,0.0505,0.0343,0.0021,0.0012,0.0008,0.0005,0.0003,0.0003,0.0002
0.0501,0.0501,0.0501,0.0503,0.0502,0.0503,0.0504,0.0342,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0501,0.0501,0.0501,0.0502,0.0502,0.0503,0.0502,0.0341,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0501,0.0501,0.0500,0.0501,0.0501,0.0502,0.0502,0.0339,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0501,0.0500,0.0500,0.0500,0.0501,0.0501,0.0501,0.0338,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0501,0.0500,0.0500,0.0500,0.0501,0.0501,0.0500,0.0334,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0501,0.0500,0.0499,0.0500,0.0500,0.0500,0.0500,0.0334,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0501,0.0500,0.0499,0.0500,0.0500,0.0500,0.0499,0.0333,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0499,0.0500,0.0499,0.0500,0.0500,0.0500,0.0498,0.0332,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0499,0.0500,0.0499,0.0499,0.0499,0.0499,0.0498,0.0331,0.0021,0.0012,0.0008,0.0005,0.0003,0.0002,0.0002
0.0499,0.0499,0.0499,0.0499,0.0499,0.0498,0.0498,0.0331,0.0021,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0499,0.0499,0.0499,0.0499,0.0499,0.0498,0.0497,0.0330,0.0021,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0499,0.0499,0.0499,0.0498,0.0498,0.0497,0.0497,0.0328,0.0021,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0498,0.0499,0.0498,0.0498,0.0498,0.0496,0.0495,0.0328,0.0020,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0498,0.0499,0.0498,0.0497,0.0497,0.0496,0.0494,0.0324,0.0020,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0497,0.0498,0.0498,0.0496,0.0495,0.0496,0.0494,0.0321,0.0020,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0496,0.0497,0.0498,0.0493,0.0494,0.0492,0.0494,0.0309,0.0020,0.0012,0.0007,0.0005,0.0003,0.0002,0.0002
0.0170,0.0176,0.0182,0.0192,0.0200,0.0218,0.0237,0.4125,0.0216,0.0129,0.0093,0.0071,0.0057,0.0047,0.0038
0.0170,0.0171,0.0183,0.0188,0.0198,0.0212,0.0235,0.0337,0.0034,0.0025,0.0019,0.0015,0.0012,0.0010,0.0008
0.0168,0.0175,0.0181,0.0187,0.0200,0.0214,0.0239,0.0334,0.0033,0.0024,0.0019,0.0015,0.0012,0.0010,0.0008
0.0170,0.0172,0.0181,0.0187,0.0197,0.0213,0.0235,0.0321,0.0033,0.0024,0.0019,0.0015,0.0012,0.0010,0.0008
0.0169,0.0173,0.0182,0.0188,0.0199,0.0213,0.0236,0.0311,0.0033,0.0024,0.0019,0.0015,0.0012,0.0010,0.0009
0.0168,0.0173,0.0179,0.0188,0.0200,0.0216,0.0232,0.0318,0.0034,0.0024,0.0019,0.0015,0.0012,0.0010,0.0008
0.0168,0.0173,0.0178,0.0186,0.0197,0.0211,0.0229,0.0326,0.0034,0.0025,0.0019,0.0015,0.0012,0.0010,0.0008
0.0169,0.0174,0.0181,0.0188,0.0197,0.0212,0.0241,0.0316,0.0034,0.0024,0.0018,0.0015,0.0012,0.0010,0.0008
0.0170,0.0172,0.0177,0.0190,0.0198,0.0213,0.0237,0.0303,0.0033,0.0024,0.0018,0.0015,0.0012,0.0010,0.0008
0.0169,0.0175,0.0181,0.0186,0.0197,0.0210,0.0234,0.0309,0.0034,0.0025,0.0018,0.0015,0.0012,0.0010,0.0008
0.0170,0.0173,0.0180,0.0188,0.0195,0.0210,0.0226,0.0307,0.0033,0.0024,0.0018,0.0015,0.0012,0.0010,0.0008
0.0168,0.0171,0.0179,0.0186,0.0196,0.0211,0.0234,0.0304,0.0033,0.0023,0.0019,0.0015,0.0012,0.0010,0.0008
0.0167,0.0174,0.0181,0.0184,0.0198,0.0211,0.0233,0.0301,0.0033,0.0024,0.0018,0.0014,0.0012,0.0010,0.0008
0.0169,0.0172,0.0180,0.0186,0.0197,0.0210,0.0226,0.0302,0.0033,0.0023,0.0018,0.0014,0.0012,0.0010,0.0008
0.0169,0.0173,0.0179,0.0186,0.0200,0.0209,0.0232,0.0302,0.0033,0.0024,0.0018,0.0015,0.0012,0.0010,0.0008
0.0168,0.0174,0.0180,0.0186,0.0197,0.0209,0.0229,0.0301,0.0033,0.0024,0.0018,0.0014,0.0012,0.0010,0.0008
0.0169,0.0174,0.0178,0.0185,0.0196,0.0207,0.0229,0.0293,0.0033,0.0023,0.0018,0.0014,0.0012,0.0010,0.0008
